"project_id","client_id","title","description","budget","deadline","posted_at","status"
"4cd12e61-3","597f9109-4","E-commerce Website Development","This project focuses on e-commerce website development with a detailed plan.","4251.87","2025-12-11","2025-03-07 08:46:43.433746","in progress"
"c0885da8-e","597f9109-4","Social Media Content Creation","This project focuses on social media content creation with a detailed plan.","3592.01","2025-05-25","2025-03-07 08:46:43.433746","cancelled"
"d465fb58-c","34116317-6","AI Chatbot Development","This project focuses on ai chatbot development with a detailed plan.","5038.00","2025-05-08","2025-03-07 08:46:43.433746","open"
"80113dcf-a","7bd9fdb8-5","AI Chatbot Development","This project focuses on ai chatbot development with a detailed plan.","2167.04","2025-09-07","2025-03-07 08:46:43.433746","completed"
"ff75254c-1","7bd9fdb8-5","Mobile App UI/UX Design","This project focuses on mobile app ui/ux design with a detailed plan.","1919.60","2025-08-06","2025-03-07 08:46:43.433746","open"
"31b9d822-b","2a15d648-4","SEO Optimization Project","This project focuses on seo optimization project with a detailed plan.","3383.78","2025-09-17","2025-03-07 08:46:43.433746","open"
"853abbb7-1","2a15d648-4","AI Chatbot Development","This project focuses on ai chatbot development with a detailed plan.","8234.84","2025-08-05","2025-03-07 08:46:43.433746","open"
"0a286165-2","5b408640-0","AI Chatbot Development","This project focuses on ai chatbot development with a detailed plan.","6962.81","2025-08-28","2025-03-07 08:46:43.433746","open"
"ea7a5080-4","ab7a827b-2","E-commerce Website Development","This project focuses on e-commerce website development with a detailed plan.","9271.73","2025-03-22","2025-03-07 08:46:43.433746","open"
"7b1b1ddc-5","ab7a827b-2","Data Analysis and Reporting","This project focuses on data analysis and reporting with a detailed plan.","4721.90","2025-09-08","2025-03-07 08:46:43.433746","completed"
"30e0d374-9","84897cf8-a","Marketing Campaign Strategy","This project focuses on marketing campaign strategy with a detailed plan.","3428.92","2025-09-15","2025-03-07 08:46:43.433746","completed"
"5eb114a4-b","84897cf8-a","Marketing Campaign Strategy","This project focuses on marketing campaign strategy with a detailed plan.","7274.30","2025-02-04","2025-03-07 08:46:43.433746","completed"
"82f23e76-1","1e6a5017-3","Logo and Branding Package","This project focuses on logo and branding package with a detailed plan.","7953.58","2025-09-04","2025-03-07 08:46:43.433746","completed"
"85cc0e31-8","51828f8c-b","AI Chatbot Development","This project focuses on ai chatbot development with a detailed plan.","5944.22","2025-06-08","2025-03-07 08:46:43.433746","open"
"51ce440e-f","6948b4e9-e","Mobile App UI/UX Design","This project focuses on mobile app ui/ux design with a detailed plan.","7121.48","2025-04-13","2025-03-07 08:46:43.433746","cancelled"
"dd5ca364-e","6948b4e9-e","Social Media Content Creation","This project focuses on social media content creation with a detailed plan.","2370.59","2025-07-07","2025-03-07 08:46:43.433746","open"
"eb215d13-4","6948b4e9-e","SEO Optimization Project","This project focuses on seo optimization project with a detailed plan.","2942.08","2025-07-09","2025-03-07 08:46:43.433746","in progress"
"4f1090d9-c","6948b4e9-e","Marketing Campaign Strategy","This project focuses on marketing campaign strategy with a detailed plan.","9403.26","2025-01-06","2025-03-07 08:46:43.433746","cancelled"
"7bed2ef7-9","6948b4e9-e","Financial Consulting Services","This project focuses on financial consulting services with a detailed plan.","7773.09","2025-10-24","2025-03-07 08:46:43.433746","open"
"1e05fe9c-3","afd8ada5-d","Logo and Branding Package","This project focuses on logo and branding package with a detailed plan.","2960.46","2025-04-07","2025-03-07 08:46:43.433746","in progress"
"1982342c-b","afd8ada5-d","AI Chatbot Development","This project focuses on ai chatbot development with a detailed plan.","5023.81","2025-07-04","2025-03-07 08:46:43.433746","in progress"
"1403a661-7","afd8ada5-d","Data Analysis and Reporting","This project focuses on data analysis and reporting with a detailed plan.","9327.90","2025-08-25","2025-03-07 08:46:43.433746","completed"
"3013b3e2-f","0c6d094c-3","Custom CRM Development","This project focuses on custom crm development with a detailed plan.","7395.50","2025-01-12","2025-03-07 08:46:43.433746","cancelled"
"10e0e21b-d","0c6d094c-3","Logo and Branding Package","This project focuses on logo and branding package with a detailed plan.","7302.57","2025-07-13","2025-03-07 08:46:43.433746","cancelled"
"0d11a9cc-8","0c6d094c-3","SEO Optimization Project","This project focuses on seo optimization project with a detailed plan.","3242.29","2025-03-19","2025-03-07 08:46:43.433746","cancelled"
"0936823e-d","0c6d094c-3","Logo and Branding Package","This project focuses on logo and branding package with a detailed plan.","6816.40","2025-07-03","2025-03-07 08:46:43.433746","cancelled"
"667857bc-7","b93e8f6b-5","AI Chatbot Development","This project focuses on ai chatbot development with a detailed plan.","6113.86","2025-01-04","2025-03-07 08:46:43.433746","in progress"
"a6dcb4dc-2","453be57e-6","Financial Consulting Services","This project focuses on financial consulting services with a detailed plan.","1558.15","2025-01-21","2025-03-07 08:46:43.433746","cancelled"
"1296a547-f","dee61fc3-7","Mobile App UI/UX Design","This project focuses on mobile app ui/ux design with a detailed plan.","1118.06","2025-09-27","2025-03-07 08:46:43.433746","open"
"8fdde2da-e","dee61fc3-7","Custom CRM Development","This project focuses on custom crm development with a detailed plan.","5308.98","2025-09-08","2025-03-07 08:46:43.433746","in progress"
"10c1cdba-d","dee61fc3-7","Data Analysis and Reporting","This project focuses on data analysis and reporting with a detailed plan.","9890.52","2025-10-14","2025-03-07 08:46:43.433746","completed"
"1e1c925f-7","dee61fc3-7","Logo and Branding Package","This project focuses on logo and branding package with a detailed plan.","4317.68","2025-10-25","2025-03-07 08:46:43.433746","in progress"
"7f1cae6c-3","dee61fc3-7","Custom CRM Development","This project focuses on custom crm development with a detailed plan.","8363.61","2025-11-15","2025-03-07 08:46:43.433746","completed"
"b83d73ab-7","21b435e6-0","Custom CRM Development","This project focuses on custom crm development with a detailed plan.","8361.41","2025-03-12","2025-03-07 08:46:43.433746","completed"
"63d226ce-e","21b435e6-0","E-commerce Website Development","This project focuses on e-commerce website development with a detailed plan.","3847.08","2025-07-07","2025-03-07 08:46:43.433746","in progress"
"ec91c8de-7","21b435e6-0","SEO Optimization Project","This project focuses on seo optimization project with a detailed plan.","5549.18","2025-03-28","2025-03-07 08:46:43.433746","in progress"
"2b111c89-7","21b435e6-0","E-commerce Website Development","This project focuses on e-commerce website development with a detailed plan.","2211.50","2025-10-18","2025-03-07 08:46:43.433746","cancelled"
"9a09bc57-2","21b435e6-0","SEO Optimization Project","This project focuses on seo optimization project with a detailed plan.","4103.30","2025-05-13","2025-03-07 08:46:43.433746","in progress"
"7efd3cac-9","bb6d8453-b","Social Media Content Creation","This project focuses on social media content creation with a detailed plan.","6788.06","2025-09-24","2025-03-07 08:46:43.433746","cancelled"
"74b83a9a-a","bb6d8453-b","Social Media Content Creation","This project focuses on social media content creation with a detailed plan.","5268.65","2025-06-21","2025-03-07 08:46:43.433746","completed"
"03f9eb05-b","50a43ac5-2","E-commerce Website Development","This project focuses on e-commerce website development with a detailed plan.","1528.52","2025-08-22","2025-03-07 08:46:43.433746","cancelled"
"51471de1-a","50a43ac5-2","Logo and Branding Package","This project focuses on logo and branding package with a detailed plan.","8457.70","2025-12-13","2025-03-07 08:46:43.433746","cancelled"
"726e88c8-0","50a43ac5-2","Data Analysis and Reporting","This project focuses on data analysis and reporting with a detailed plan.","2065.80","2025-11-20","2025-03-07 08:46:43.433746","in progress"
"b1fc3396-a","50a43ac5-2","Logo and Branding Package","This project focuses on logo and branding package with a detailed plan.","8535.88","2025-11-27","2025-03-07 08:46:43.433746","cancelled"
"2349394d-7","35e5571b-8","Data Analysis and Reporting","This project focuses on data analysis and reporting with a detailed plan.","9869.77","2025-11-08","2025-03-07 08:46:43.433746","completed"
"f19c5c57-3","35e5571b-8","Mobile App UI/UX Design","This project focuses on mobile app ui/ux design with a detailed plan.","9253.95","2025-12-19","2025-03-07 08:46:43.433746","cancelled"
"6eff37fb-c","35e5571b-8","E-commerce Website Development","This project focuses on e-commerce website development with a detailed plan.","3910.99","2025-09-07","2025-03-07 08:46:43.433746","cancelled"
"9e5133d3-0","35e5571b-8","Custom CRM Development","This project focuses on custom crm development with a detailed plan.","4086.63","2025-07-09","2025-03-07 08:46:43.433746","cancelled"
"99c2b74f-e","35e5571b-8","Social Media Content Creation","This project focuses on social media content creation with a detailed plan.","2887.22","2025-04-05","2025-03-07 08:46:43.433746","cancelled"
"c92da20e-8","fc3fbba4-1","Mobile App UI/UX Design","This project focuses on mobile app ui/ux design with a detailed plan.","4260.02","2025-07-14","2025-03-07 08:46:43.433746","cancelled"
"3b6677ba-d","fc3fbba4-1","Logo and Branding Package","This project focuses on logo and branding package with a detailed plan.","4148.34","2025-12-28","2025-03-07 08:46:43.433746","completed"
"4ec469ce-0","25c430d4-a","Custom CRM Development","This project focuses on custom crm development with a detailed plan.","9206.46","2025-07-27","2025-03-07 08:46:43.433746","cancelled"
"af675eb9-4","25c430d4-a","AI Chatbot Development","This project focuses on ai chatbot development with a detailed plan.","1074.81","2025-01-28","2025-03-07 08:46:43.433746","completed"
"d47a6fe2-1","25c430d4-a","Custom CRM Development","This project focuses on custom crm development with a detailed plan.","2382.70","2025-06-08","2025-03-07 08:46:43.433746","completed"
"c1a49fcb-0","25c430d4-a","AI Chatbot Development","This project focuses on ai chatbot development with a detailed plan.","9500.81","2025-12-14","2025-03-07 08:46:43.433746","cancelled"
"3e9965c8-4","eefc2fe4-7","Custom CRM Development","This project focuses on custom crm development with a detailed plan.","9119.55","2025-02-13","2025-03-07 08:46:43.433746","cancelled"
"8041a0a4-2","24cd2824-5","SEO Optimization Project","This project focuses on seo optimization project with a detailed plan.","5181.34","2025-05-09","2025-03-07 08:46:43.433746","cancelled"
"fbd622a2-3","24cd2824-5","Data Analysis and Reporting","This project focuses on data analysis and reporting with a detailed plan.","5654.91","2025-09-12","2025-03-07 08:46:43.433746","in progress"
"171c5bb3-6","24cd2824-5","Social Media Content Creation","This project focuses on social media content creation with a detailed plan.","6720.20","2025-10-08","2025-03-07 08:46:43.433746","completed"
"2f52c540-e","24cd2824-5","E-commerce Website Development","This project focuses on e-commerce website development with a detailed plan.","4701.67","2025-04-14","2025-03-07 08:46:43.433746","cancelled"
"69109ecb-2","24cd2824-5","Marketing Campaign Strategy","This project focuses on marketing campaign strategy with a detailed plan.","1895.76","2025-09-22","2025-03-07 08:46:43.433746","cancelled"
"87adbcf3-4","76674b43-f","Mobile App UI/UX Design","This project focuses on mobile app ui/ux design with a detailed plan.","7719.23","2025-03-12","2025-03-07 08:46:43.433746","open"
"da67fec2-8","76674b43-f","Custom CRM Development","This project focuses on custom crm development with a detailed plan.","3192.27","2025-04-16","2025-03-07 08:46:43.433746","completed"
"51d25ecf-9","76674b43-f","Logo and Branding Package","This project focuses on logo and branding package with a detailed plan.","4135.46","2025-09-19","2025-03-07 08:46:43.433746","in progress"
"b0eca511-7","a1b46107-0","AI Chatbot Development","This project focuses on ai chatbot development with a detailed plan.","1957.92","2025-02-06","2025-03-07 08:46:43.433746","cancelled"
"a6b97ffa-3","a1b46107-0","AI Chatbot Development","This project focuses on ai chatbot development with a detailed plan.","9267.50","2025-09-22","2025-03-07 08:46:43.433746","cancelled"
"faa757a8-9","a1b46107-0","SEO Optimization Project","This project focuses on seo optimization project with a detailed plan.","8930.55","2025-10-02","2025-03-07 08:46:43.433746","in progress"
"c8b418b9-7","a1b46107-0","SEO Optimization Project","This project focuses on seo optimization project with a detailed plan.","8653.36","2025-05-03","2025-03-07 08:46:43.433746","in progress"
"46732aa6-7","a9b55fd3-0","Social Media Content Creation","This project focuses on social media content creation with a detailed plan.","7233.06","2025-06-03","2025-03-07 08:46:43.433746","open"
"05381887-b","75bace7e-a","Mobile App UI/UX Design","This project focuses on mobile app ui/ux design with a detailed plan.","2647.77","2025-10-20","2025-03-07 08:46:43.433746","open"
"39701e7e-0","75bace7e-a","Social Media Content Creation","This project focuses on social media content creation with a detailed plan.","5245.84","2025-01-14","2025-03-07 08:46:43.433746","in progress"
"ba20e338-2","75bace7e-a","SEO Optimization Project","This project focuses on seo optimization project with a detailed plan.","7975.14","2025-08-07","2025-03-07 08:46:43.433746","open"
"a047c183-2","7aed1803-2","Logo and Branding Package","This project focuses on logo and branding package with a detailed plan.","4393.45","2025-12-18","2025-03-07 08:46:43.433746","cancelled"
"cc38f468-f","7aed1803-2","SEO Optimization Project","This project focuses on seo optimization project with a detailed plan.","5624.97","2025-07-03","2025-03-07 08:46:43.433746","in progress"
"4b3872a5-0","b6cb8ac4-c","Social Media Content Creation","This project focuses on social media content creation with a detailed plan.","9337.06","2025-10-21","2025-03-07 08:46:43.433746","completed"
"1896d42c-3","b6cb8ac4-c","Marketing Campaign Strategy","This project focuses on marketing campaign strategy with a detailed plan.","3524.26","2025-03-04","2025-03-07 08:46:43.433746","open"
"d0599999-4","b6cb8ac4-c","E-commerce Website Development","This project focuses on e-commerce website development with a detailed plan.","7530.38","2025-04-01","2025-03-07 08:46:43.433746","cancelled"
"d8aaae46-b","fa09c8b1-0","Custom CRM Development","This project focuses on custom crm development with a detailed plan.","5598.50","2025-02-02","2025-03-07 08:46:43.433746","open"
"c47872c1-4","fa09c8b1-0","SEO Optimization Project","This project focuses on seo optimization project with a detailed plan.","2224.27","2025-09-03","2025-03-07 08:46:43.433746","in progress"
"3e02ef11-a","fa09c8b1-0","E-commerce Website Development","This project focuses on e-commerce website development with a detailed plan.","5825.53","2025-04-05","2025-03-07 08:46:43.433746","cancelled"
"0c385dc6-2","fa09c8b1-0","Social Media Content Creation","This project focuses on social media content creation with a detailed plan.","5459.79","2025-01-21","2025-03-07 08:46:43.433746","completed"
"ed3ad5fe-3","fa09c8b1-0","Logo and Branding Package","This project focuses on logo and branding package with a detailed plan.","1325.55","2025-07-19","2025-03-07 08:46:43.433746","open"
"03a5f1f3-2","2b7138a5-e","Mobile App UI/UX Design","This project focuses on mobile app ui/ux design with a detailed plan.","2730.38","2025-06-23","2025-03-07 08:46:43.433746","cancelled"
"2225ceb4-c","2b7138a5-e","AI Chatbot Development","This project focuses on ai chatbot development with a detailed plan.","5152.47","2025-09-22","2025-03-07 08:46:43.433746","open"
"b1b58eb2-b","2b7138a5-e","E-commerce Website Development","This project focuses on e-commerce website development with a detailed plan.","2363.65","2025-05-24","2025-03-07 08:46:43.433746","cancelled"
"c1e02d9e-6","2b7138a5-e","Custom CRM Development","This project focuses on custom crm development with a detailed plan.","3502.61","2025-07-02","2025-03-07 08:46:43.433746","completed"
"4fcb0826-f","2a144659-2","Mobile App UI/UX Design","This project focuses on mobile app ui/ux design with a detailed plan.","7066.88","2025-06-18","2025-03-07 08:46:43.433746","completed"
"8392af7a-e","8c19b84e-9","AI Chatbot Development","This project focuses on ai chatbot development with a detailed plan.","3233.94","2025-03-06","2025-03-07 08:46:43.433746","open"
"78a7ff46-7","8c19b84e-9","E-commerce Website Development","This project focuses on e-commerce website development with a detailed plan.","8387.82","2025-07-16","2025-03-07 08:46:43.433746","completed"
"d81c7112-3","8c19b84e-9","Financial Consulting Services","This project focuses on financial consulting services with a detailed plan.","1970.00","2025-10-03","2025-03-07 08:46:43.433746","open"
"6b2aba73-3","aab4b6ec-1","SEO Optimization Project","This project focuses on seo optimization project with a detailed plan.","6255.96","2025-02-15","2025-03-07 08:46:43.433746","in progress"
"a0e64285-4","aab4b6ec-1","Data Analysis and Reporting","This project focuses on data analysis and reporting with a detailed plan.","6128.69","2025-03-13","2025-03-07 08:46:43.433746","cancelled"
"29c53f40-a","aab4b6ec-1","Data Analysis and Reporting","This project focuses on data analysis and reporting with a detailed plan.","1640.14","2025-11-24","2025-03-07 08:46:43.433746","open"
"e39ee2c6-1","aab4b6ec-1","Data Analysis and Reporting","This project focuses on data analysis and reporting with a detailed plan.","7415.82","2025-11-08","2025-03-07 08:46:43.433746","open"
"0271823c-9","e479845f-2","Custom CRM Development","This project focuses on custom crm development with a detailed plan.","3458.63","2025-03-21","2025-03-07 08:46:43.433746","completed"
"5ef177a4-a","e479845f-2","Social Media Content Creation","This project focuses on social media content creation with a detailed plan.","5609.05","2025-09-13","2025-03-07 08:46:43.433746","cancelled"
"84f4a99c-f","e479845f-2","SEO Optimization Project","This project focuses on seo optimization project with a detailed plan.","4143.15","2025-08-27","2025-03-07 08:46:43.433746","cancelled"
"c650fe50-5","e479845f-2","Social Media Content Creation","This project focuses on social media content creation with a detailed plan.","1922.29","2025-09-24","2025-03-07 08:46:43.433746","cancelled"
"e8e9c2dd-7","e479845f-2","E-commerce Website Development","This project focuses on e-commerce website development with a detailed plan.","9543.83","2025-09-28","2025-03-07 08:46:43.433746","in progress"
"a9d5ea24-d","05fa967f-4","Financial Consulting Services","This project focuses on financial consulting services with a detailed plan.","2064.55","2025-03-05","2025-03-07 08:46:43.433746","in progress"
"852fd9ab-d","05fa967f-4","Marketing Campaign Strategy","This project focuses on marketing campaign strategy with a detailed plan.","3724.41","2025-12-20","2025-03-07 08:46:43.433746","cancelled"
"17a47085-d","418aa60d-4","Marketing Campaign Strategy","This project focuses on marketing campaign strategy with a detailed plan.","3434.46","2025-08-21","2025-03-07 08:46:43.433746","in progress"
"e691beb2-1","418aa60d-4","Social Media Content Creation","This project focuses on social media content creation with a detailed plan.","7269.81","2025-07-01","2025-03-07 08:46:43.433746","in progress"
"86dfa0c2-a","418aa60d-4","Marketing Campaign Strategy","This project focuses on marketing campaign strategy with a detailed plan.","4402.50","2025-09-04","2025-03-07 08:46:43.433746","cancelled"
"774d3e7f-7","6ae7a76c-6","Data Analysis and Reporting","This project focuses on data analysis and reporting with a detailed plan.","8679.01","2025-08-26","2025-03-07 08:46:43.433746","cancelled"
"2d6e6c4c-8","6ae7a76c-6","Mobile App UI/UX Design","This project focuses on mobile app ui/ux design with a detailed plan.","2987.86","2025-07-14","2025-03-07 08:46:43.433746","cancelled"
"2f984e8e-d","6ae7a76c-6","Custom CRM Development","This project focuses on custom crm development with a detailed plan.","9694.32","2025-05-07","2025-03-07 08:46:43.433746","completed"
"9ef8317c-d","6ae7a76c-6","Marketing Campaign Strategy","This project focuses on marketing campaign strategy with a detailed plan.","1216.53","2025-05-07","2025-03-07 08:46:43.433746","in progress"
"cf048b75-a","d6668e4d-8","Custom CRM Development","This project focuses on custom crm development with a detailed plan.","1694.24","2025-09-11","2025-03-07 08:46:43.433746","completed"
"1d05556c-2","3bd64de9-8","Mobile App UI/UX Design","This project focuses on mobile app ui/ux design with a detailed plan.","2865.77","2025-08-19","2025-03-07 08:46:43.433746","in progress"
"b795c97f-1","3bd64de9-8","Custom CRM Development","This project focuses on custom crm development with a detailed plan.","7719.03","2025-08-08","2025-03-07 08:46:43.433746","open"
"47ed5a9f-0","3bd64de9-8","Social Media Content Creation","This project focuses on social media content creation with a detailed plan.","712.20","2025-10-11","2025-03-07 08:46:43.433746","cancelled"
"5f1673ec-c","7da4c7a9-7","Financial Consulting Services","This project focuses on financial consulting services with a detailed plan.","5898.90","2025-09-17","2025-03-07 08:46:43.433746","in progress"
"6c7715a5-c","7da4c7a9-7","Mobile App UI/UX Design","This project focuses on mobile app ui/ux design with a detailed plan.","1600.35","2025-01-19","2025-03-07 08:46:43.433746","in progress"
"370c45b6-d","7da4c7a9-7","Financial Consulting Services","This project focuses on financial consulting services with a detailed plan.","9197.66","2025-10-02","2025-03-07 08:46:43.433746","completed"
